TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B01003,,,,TOTAL POPULATION,,
B01003,,,,Universe:  Total population,,
B01003,05000US01003,"Baldwin County, Alabama",1,Total,"218,022",*****
B01003,05000US01015,"Calhoun County, Alabama",1,Total,"114,277",*****
B01003,05000US01043,"Cullman County, Alabama",1,Total,"83,442",*****
B01003,05000US01049,"DeKalb County, Alabama",1,Total,"71,385",*****
B01003,05000US01051,"Elmore County, Alabama",1,Total,"81,887",*****
B01003,05000US01055,"Etowah County, Alabama",1,Total,"102,501",*****
B01003,05000US01069,"Houston County, Alabama",1,Total,"104,722",*****
B01003,05000US01073,"Jefferson County, Alabama",1,Total,"659,300",*****
B01003,05000US01077,"Lauderdale County, Alabama",1,Total,"92,387",*****
B01003,05000US01081,"Lee County, Alabama",1,Total,"163,941",*****
B01003,05000US01083,"Limestone County, Alabama",1,Total,"96,174",*****
B01003,05000US01089,"Madison County, Alabama",1,Total,"366,519",*****
B01003,05000US01095,"Marshall County, Alabama",1,Total,"96,109",*****
B01003,05000US01097,"Mobile County, Alabama",1,Total,"413,757",*****
B01003,05000US01101,"Montgomery County, Alabama",1,Total,"225,763",*****
B01003,05000US01103,"Morgan County, Alabama",1,Total,"119,089",*****
B01003,05000US01115,"St. Clair County, Alabama",1,Total,"88,690",*****
B01003,05000US01117,"Shelby County, Alabama",1,Total,"215,707",*****
B01003,05000US01121,"Talladega County, Alabama",1,Total,"79,828",*****
B01003,05000US01125,"Tuscaloosa County, Alabama",1,Total,"208,911",*****
B01003,05000US01127,"Walker County, Alabama",1,Total,"63,711",*****
B01003,05000US02020,"Anchorage Municipality, Alaska",1,Total,"291,538",*****
B01003,05000US02090,"Fairbanks North Star Borough, Alaska",1,Total,"98,971",*****
B01003,05000US02170,"Matanuska-Susitna Borough, Alaska",1,Total,"107,610",*****
B01003,05000US04001,"Apache County, Arizona",1,Total,"71,818",*****
B01003,05000US04003,"Cochise County, Arizona",1,Total,"126,770",*****
B01003,05000US04005,"Coconino County, Arizona",1,Total,"142,854",*****
B01003,05000US04013,"Maricopa County, Arizona",1,Total,"4,410,824",*****
B01003,05000US04015,"Mohave County, Arizona",1,Total,"209,550",*****
B01003,05000US04017,"Navajo County, Arizona",1,Total,"110,445",*****
B01003,05000US04019,"Pima County, Arizona",1,Total,"1,039,073",*****
B01003,05000US04021,"Pinal County, Arizona",1,Total,"447,138",*****
B01003,05000US04025,"Yavapai County, Arizona",1,Total,"231,993",*****
B01003,05000US04027,"Yuma County, Arizona",1,Total,"212,128",*****
B01003,05000US05007,"Benton County, Arkansas",1,Total,"272,608",*****
B01003,05000US05031,"Craighead County, Arkansas",1,Total,"108,558",*****
B01003,05000US05045,"Faulkner County, Arkansas",1,Total,"124,806",*****
B01003,05000US05051,"Garland County, Arkansas",1,Total,"99,154",*****
B01003,05000US05069,"Jefferson County, Arkansas",1,Total,"68,114",*****
B01003,05000US05085,"Lonoke County, Arkansas",1,Total,"73,657",*****
B01003,05000US05119,"Pulaski County, Arkansas",1,Total,"392,680",*****
B01003,05000US05125,"Saline County, Arkansas",1,Total,"121,421",*****
B01003,05000US05131,"Sebastian County, Arkansas",1,Total,"127,753",*****
B01003,05000US05143,"Washington County, Arkansas",1,Total,"236,961",*****
B01003,05000US05145,"White County, Arkansas",1,Total,"78,727",*****
B01003,05000US06001,"Alameda County, California",1,Total,"1,666,753",*****
B01003,05000US06007,"Butte County, California",1,Total,"231,256",*****
B01003,05000US06013,"Contra Costa County, California",1,Total,"1,150,215",*****
B01003,05000US06017,"El Dorado County, California",1,Total,"190,678",*****
B01003,05000US06019,"Fresno County, California",1,Total,"994,400",*****
B01003,05000US06023,"Humboldt County, California",1,Total,"136,373",*****
B01003,05000US06025,"Imperial County, California",1,Total,"181,827",*****
B01003,05000US06029,"Kern County, California",1,Total,"896,764",*****
B01003,05000US06031,"Kings County, California",1,Total,"151,366",*****
B01003,05000US06033,"Lake County, California",1,Total,"64,382",*****
B01003,05000US06037,"Los Angeles County, California",1,Total,"10,105,518",*****
B01003,05000US06039,"Madera County, California",1,Total,"157,672",*****
B01003,05000US06041,"Marin County, California",1,Total,"259,666",*****
B01003,05000US06045,"Mendocino County, California",1,Total,"87,606",*****
B01003,05000US06047,"Merced County, California",1,Total,"274,765",*****
B01003,05000US06053,"Monterey County, California",1,Total,"435,594",*****
B01003,05000US06055,"Napa County, California",1,Total,"139,417",*****
B01003,05000US06057,"Nevada County, California",1,Total,"99,696",*****
B01003,05000US06059,"Orange County, California",1,Total,"3,185,968",*****
B01003,05000US06061,"Placer County, California",1,Total,"393,149",*****
B01003,05000US06065,"Riverside County, California",1,Total,"2,450,758",*****
B01003,05000US06067,"Sacramento County, California",1,Total,"1,540,975",*****
B01003,05000US06071,"San Bernardino County, California",1,Total,"2,171,603",*****
B01003,05000US06073,"San Diego County, California",1,Total,"3,343,364",*****
B01003,05000US06075,"San Francisco County, California",1,Total,"883,305",*****
B01003,05000US06077,"San Joaquin County, California",1,Total,"752,660",*****
B01003,05000US06079,"San Luis Obispo County, California",1,Total,"284,010",*****
B01003,05000US06081,"San Mateo County, California",1,Total,"769,545",*****
B01003,05000US06083,"Santa Barbara County, California",1,Total,"446,527",*****
B01003,05000US06085,"Santa Clara County, California",1,Total,"1,937,570",*****
B01003,05000US06087,"Santa Cruz County, California",1,Total,"274,255",*****
B01003,05000US06089,"Shasta County, California",1,Total,"180,040",*****
B01003,05000US06095,"Solano County, California",1,Total,"446,610",*****
B01003,05000US06097,"Sonoma County, California",1,Total,"499,942",*****
B01003,05000US06099,"Stanislaus County, California",1,Total,"549,815",*****
B01003,05000US06101,"Sutter County, California",1,Total,"96,807",*****
B01003,05000US06107,"Tulare County, California",1,Total,"465,861",*****
B01003,05000US06111,"Ventura County, California",1,Total,"850,967",*****
B01003,05000US06113,"Yolo County, California",1,Total,"220,408",*****
B01003,05000US06115,"Yuba County, California",1,Total,"78,041",*****
B01003,05000US08001,"Adams County, Colorado",1,Total,"511,868",*****
B01003,05000US08005,"Arapahoe County, Colorado",1,Total,"651,215",*****
B01003,05000US08013,"Boulder County, Colorado",1,Total,"326,078",*****
B01003,05000US08014,"Broomfield County, Colorado",1,Total,"69,267",*****
B01003,05000US08031,"Denver County, Colorado",1,Total,"716,492",*****
B01003,05000US08035,"Douglas County, Colorado",1,Total,"342,776",*****
B01003,05000US08041,"El Paso County, Colorado",1,Total,"713,856",*****
B01003,05000US08059,"Jefferson County, Colorado",1,Total,"580,233",*****
B01003,05000US08069,"Larimer County, Colorado",1,Total,"350,518",*****
B01003,05000US08077,"Mesa County, Colorado",1,Total,"153,207",*****
B01003,05000US08101,"Pueblo County, Colorado",1,Total,"167,529",*****
B01003,05000US08123,"Weld County, Colorado",1,Total,"314,305",*****
B01003,05000US09001,"Fairfield County, Connecticut",1,Total,"943,823",*****
B01003,05000US09003,"Hartford County, Connecticut",1,Total,"892,697",*****
B01003,05000US09005,"Litchfield County, Connecticut",1,Total,"181,111",*****
B01003,05000US09007,"Middlesex County, Connecticut",1,Total,"162,682",*****
B01003,05000US09009,"New Haven County, Connecticut",1,Total,"857,620",*****
B01003,05000US09011,"New London County, Connecticut",1,Total,"266,784",*****
B01003,05000US09013,"Tolland County, Connecticut",1,Total,"150,921",*****
B01003,05000US09015,"Windham County, Connecticut",1,Total,"117,027",*****
B01003,05000US10001,"Kent County, Delaware",1,Total,"178,550",*****
B01003,05000US10003,"New Castle County, Delaware",1,Total,"559,335",*****
B01003,05000US10005,"Sussex County, Delaware",1,Total,"229,286",*****
B01003,05000US11001,"District of Columbia, District of Columbia",1,Total,"702,455",*****
B01003,05000US12001,"Alachua County, Florida",1,Total,"269,956",*****
B01003,05000US12005,"Bay County, Florida",1,Total,"185,287",*****
B01003,05000US12009,"Brevard County, Florida",1,Total,"596,849",*****
B01003,05000US12011,"Broward County, Florida",1,Total,"1,951,260",*****
B01003,05000US12015,"Charlotte County, Florida",1,Total,"184,998",*****
B01003,05000US12017,"Citrus County, Florida",1,Total,"147,929",*****
B01003,05000US12019,"Clay County, Florida",1,Total,"216,072",*****
B01003,05000US12021,"Collier County, Florida",1,Total,"378,488",*****
B01003,05000US12023,"Columbia County, Florida",1,Total,"70,503",*****
B01003,05000US12031,"Duval County, Florida",1,Total,"950,181",*****
B01003,05000US12033,"Escambia County, Florida",1,Total,"315,534",*****
B01003,05000US12035,"Flagler County, Florida",1,Total,"112,067",*****
B01003,05000US12053,"Hernando County, Florida",1,Total,"190,865",*****
B01003,05000US12055,"Highlands County, Florida",1,Total,"105,424",*****
B01003,05000US12057,"Hillsborough County, Florida",1,Total,"1,436,888",*****
B01003,05000US12061,"Indian River County, Florida",1,Total,"157,413",*****
B01003,05000US12069,"Lake County, Florida",1,Total,"356,495",*****
B01003,05000US12071,"Lee County, Florida",1,Total,"754,610",*****
B01003,05000US12073,"Leon County, Florida",1,Total,"292,502",*****
B01003,05000US12081,"Manatee County, Florida",1,Total,"394,855",*****
B01003,05000US12083,"Marion County, Florida",1,Total,"359,977",*****
B01003,05000US12085,"Martin County, Florida",1,Total,"160,912",*****
B01003,05000US12086,"Miami-Dade County, Florida",1,Total,"2,761,581",*****
B01003,05000US12087,"Monroe County, Florida",1,Total,"75,027",*****
B01003,05000US12089,"Nassau County, Florida",1,Total,"85,832",*****
B01003,05000US12091,"Okaloosa County, Florida",1,Total,"207,269",*****
B01003,05000US12095,"Orange County, Florida",1,Total,"1,380,645",*****
B01003,05000US12097,"Osceola County, Florida",1,Total,"367,990",*****
B01003,05000US12099,"Palm Beach County, Florida",1,Total,"1,485,941",*****
B01003,05000US12101,"Pasco County, Florida",1,Total,"539,630",*****
B01003,05000US12103,"Pinellas County, Florida",1,Total,"975,280",*****
B01003,05000US12105,"Polk County, Florida",1,Total,"708,009",*****
B01003,05000US12107,"Putnam County, Florida",1,Total,"74,163",*****
B01003,05000US12109,"St. Johns County, Florida",1,Total,"254,261",*****
B01003,05000US12111,"St. Lucie County, Florida",1,Total,"321,128",*****
B01003,05000US12113,"Santa Rosa County, Florida",1,Total,"179,349",*****
B01003,05000US12115,"Sarasota County, Florida",1,Total,"426,718",*****
B01003,05000US12117,"Seminole County, Florida",1,Total,"467,832",*****
B01003,05000US12119,"Sumter County, Florida",1,Total,"128,754",*****
B01003,05000US12127,"Volusia County, Florida",1,Total,"547,538",*****
B01003,05000US12131,"Walton County, Florida",1,Total,"71,375",*****
B01003,05000US13013,"Barrow County, Georgia",1,Total,"80,809",*****
B01003,05000US13015,"Bartow County, Georgia",1,Total,"106,408",*****
B01003,05000US13021,"Bibb County, Georgia",1,Total,"153,095",*****
B01003,05000US13031,"Bulloch County, Georgia",1,Total,"77,296",*****
B01003,05000US13045,"Carroll County, Georgia",1,Total,"118,121",*****
B01003,05000US13047,"Catoosa County, Georgia",1,Total,"67,420",*****
B01003,05000US13051,"Chatham County, Georgia",1,Total,"289,195",*****
B01003,05000US13057,"Cherokee County, Georgia",1,Total,"254,149",*****
B01003,05000US13059,"Clarke County, Georgia",1,Total,"127,330",*****
B01003,05000US13063,"Clayton County, Georgia",1,Total,"289,615",*****
B01003,05000US13067,"Cobb County, Georgia",1,Total,"756,865",*****
B01003,05000US13073,"Columbia County, Georgia",1,Total,"154,291",*****
B01003,05000US13077,"Coweta County, Georgia",1,Total,"145,864",*****
B01003,05000US13089,"DeKalb County, Georgia",1,Total,"756,558",*****
B01003,05000US13095,"Dougherty County, Georgia",1,Total,"91,243",*****
B01003,05000US13097,"Douglas County, Georgia",1,Total,"145,331",*****
B01003,05000US13113,"Fayette County, Georgia",1,Total,"113,459",*****
B01003,05000US13115,"Floyd County, Georgia",1,Total,"97,927",*****
B01003,05000US13117,"Forsyth County, Georgia",1,Total,"236,612",*****
B01003,05000US13121,"Fulton County, Georgia",1,Total,"1,050,114",*****
B01003,05000US13127,"Glynn County, Georgia",1,Total,"85,219",*****
B01003,05000US13135,"Gwinnett County, Georgia",1,Total,"927,781",*****
B01003,05000US13139,"Hall County, Georgia",1,Total,"202,148",*****
B01003,05000US13151,"Henry County, Georgia",1,Total,"230,220",*****
B01003,05000US13153,"Houston County, Georgia",1,Total,"155,469",*****
B01003,05000US13157,"Jackson County, Georgia",1,Total,"70,422",*****
B01003,05000US13185,"Lowndes County, Georgia",1,Total,"116,321",*****
B01003,05000US13215,"Muscogee County, Georgia",1,Total,"194,160",*****
B01003,05000US13217,"Newton County, Georgia",1,Total,"109,541",*****
B01003,05000US13223,"Paulding County, Georgia",1,Total,"164,044",*****
B01003,05000US13245,"Richmond County, Georgia",1,Total,"201,554",*****
B01003,05000US13247,"Rockdale County, Georgia",1,Total,"90,594",*****
B01003,05000US13255,"Spalding County, Georgia",1,Total,"66,100",*****
B01003,05000US13285,"Troup County, Georgia",1,Total,"70,034",*****
B01003,05000US13295,"Walker County, Georgia",1,Total,"69,410",*****
B01003,05000US13297,"Walton County, Georgia",1,Total,"93,503",*****
B01003,05000US13313,"Whitfield County, Georgia",1,Total,"104,062",*****
B01003,05000US15001,"Hawaii County, Hawaii",1,Total,"200,983",*****
B01003,05000US15003,"Honolulu County, Hawaii",1,Total,"980,080",*****
B01003,05000US15007,"Kauai County, Hawaii",1,Total,"72,133",*****
B01003,05000US15009,"Maui County, Hawaii",1,Total,"167,218",+/-59
B01003,05000US16001,"Ada County, Idaho",1,Total,"469,966",*****
B01003,05000US16005,"Bannock County, Idaho",1,Total,"87,138",*****
B01003,05000US16019,"Bonneville County, Idaho",1,Total,"116,854",*****
B01003,05000US16027,"Canyon County, Idaho",1,Total,"223,499",*****
B01003,05000US16055,"Kootenai County, Idaho",1,Total,"161,505",*****
B01003,05000US16083,"Twin Falls County, Idaho",1,Total,"86,081",*****
B01003,05000US17001,"Adams County, Illinois",1,Total,"65,691",*****
B01003,05000US17019,"Champaign County, Illinois",1,Total,"209,983",*****
B01003,05000US17031,"Cook County, Illinois",1,Total,"5,180,493",*****
B01003,05000US17037,"DeKalb County, Illinois",1,Total,"104,143",*****
B01003,05000US17043,"DuPage County, Illinois",1,Total,"928,589",*****
B01003,05000US17089,"Kane County, Illinois",1,Total,"534,216",*****
B01003,05000US17091,"Kankakee County, Illinois",1,Total,"110,024",*****
B01003,05000US17093,"Kendall County, Illinois",1,Total,"127,915",*****
B01003,05000US17097,"Lake County, Illinois",1,Total,"700,832",*****
B01003,05000US17099,"LaSalle County, Illinois",1,Total,"109,430",*****
B01003,05000US17111,"McHenry County, Illinois",1,Total,"308,570",*****
B01003,05000US17113,"McLean County, Illinois",1,Total,"172,828",*****
B01003,05000US17115,"Macon County, Illinois",1,Total,"104,712",*****
B01003,05000US17119,"Madison County, Illinois",1,Total,"264,461",*****
B01003,05000US17143,"Peoria County, Illinois",1,Total,"180,621",*****
B01003,05000US17161,"Rock Island County, Illinois",1,Total,"143,477",*****
B01003,05000US17163,"St. Clair County, Illinois",1,Total,"261,059",*****
B01003,05000US17167,"Sangamon County, Illinois",1,Total,"195,348",*****
B01003,05000US17179,"Tazewell County, Illinois",1,Total,"132,328",*****
B01003,05000US17183,"Vermilion County, Illinois",1,Total,"76,806",*****
B01003,05000US17197,"Will County, Illinois",1,Total,"692,310",*****
B01003,05000US17199,"Williamson County, Illinois",1,Total,"67,056",*****
B01003,05000US17201,"Winnebago County, Illinois",1,Total,"284,081",*****
B01003,05000US18003,"Allen County, Indiana",1,Total,"375,351",*****
B01003,05000US18005,"Bartholomew County, Indiana",1,Total,"82,753",*****
B01003,05000US18011,"Boone County, Indiana",1,Total,"66,999",*****
B01003,05000US18019,"Clark County, Indiana",1,Total,"117,360",*****
B01003,05000US18035,"Delaware County, Indiana",1,Total,"114,772",*****
B01003,05000US18039,"Elkhart County, Indiana",1,Total,"205,560",*****
B01003,05000US18043,"Floyd County, Indiana",1,Total,"77,781",*****
B01003,05000US18053,"Grant County, Indiana",1,Total,"65,936",*****
B01003,05000US18057,"Hamilton County, Indiana",1,Total,"330,086",*****
B01003,05000US18059,"Hancock County, Indiana",1,Total,"76,351",*****
B01003,05000US18063,"Hendricks County, Indiana",1,Total,"167,009",*****
B01003,05000US18067,"Howard County, Indiana",1,Total,"82,366",*****
B01003,05000US18081,"Johnson County, Indiana",1,Total,"156,225",*****
B01003,05000US18085,"Kosciusko County, Indiana",1,Total,"79,344",*****
B01003,05000US18089,"Lake County, Indiana",1,Total,"484,411",*****
B01003,05000US18091,"LaPorte County, Indiana",1,Total,"110,007",*****
B01003,05000US18095,"Madison County, Indiana",1,Total,"129,641",*****
B01003,05000US18097,"Marion County, Indiana",1,Total,"954,670",*****
B01003,05000US18105,"Monroe County, Indiana",1,Total,"146,917",*****
B01003,05000US18109,"Morgan County, Indiana",1,Total,"70,116",*****
B01003,05000US18127,"Porter County, Indiana",1,Total,"169,594",*****
B01003,05000US18141,"St. Joseph County, Indiana",1,Total,"270,771",*****
B01003,05000US18157,"Tippecanoe County, Indiana",1,Total,"193,048",*****
B01003,05000US18163,"Vanderburgh County, Indiana",1,Total,"180,974",*****
B01003,05000US18167,"Vigo County, Indiana",1,Total,"107,386",*****
B01003,05000US18177,"Wayne County, Indiana",1,Total,"65,936",*****
B01003,05000US19013,"Black Hawk County, Iowa",1,Total,"132,408",*****
B01003,05000US19049,"Dallas County, Iowa",1,Total,"90,180",*****
B01003,05000US19061,"Dubuque County, Iowa",1,Total,"96,854",*****
B01003,05000US19103,"Johnson County, Iowa",1,Total,"151,260",*****
B01003,05000US19113,"Linn County, Iowa",1,Total,"225,909",*****
B01003,05000US19153,"Polk County, Iowa",1,Total,"487,204",*****
B01003,05000US19155,"Pottawattamie County, Iowa",1,Total,"93,533",*****
B01003,05000US19163,"Scott County, Iowa",1,Total,"173,283",*****
B01003,05000US19169,"Story County, Iowa",1,Total,"98,105",*****
B01003,05000US19193,"Woodbury County, Iowa",1,Total,"102,539",*****
B01003,05000US20015,"Butler County, Kansas",1,Total,"66,765",*****
B01003,05000US20045,"Douglas County, Kansas",1,Total,"121,436",*****
B01003,05000US20091,"Johnson County, Kansas",1,Total,"597,555",*****
B01003,05000US20103,"Leavenworth County, Kansas",1,Total,"81,352",*****
B01003,05000US20161,"Riley County, Kansas",1,Total,"73,703",*****
B01003,05000US20173,"Sedgwick County, Kansas",1,Total,"513,607",*****
B01003,05000US20177,"Shawnee County, Kansas",1,Total,"177,499",*****
B01003,05000US20209,"Wyandotte County, Kansas",1,Total,"165,324",*****
B01003,05000US21015,"Boone County, Kentucky",1,Total,"131,533",*****
B01003,05000US21029,"Bullitt County, Kentucky",1,Total,"81,069",*****
B01003,05000US21037,"Campbell County, Kentucky",1,Total,"93,152",*****
B01003,05000US21047,"Christian County, Kentucky",1,Total,"71,671",*****
B01003,05000US21059,"Daviess County, Kentucky",1,Total,"101,104",*****
B01003,05000US21067,"Fayette County, Kentucky",1,Total,"323,780",*****
B01003,05000US21093,"Hardin County, Kentucky",1,Total,"110,356",*****
B01003,05000US21111,"Jefferson County, Kentucky",1,Total,"770,517",*****
B01003,05000US21117,"Kenton County, Kentucky",1,Total,"166,051",*****
B01003,05000US21145,"McCracken County, Kentucky",1,Total,"65,346",*****
B01003,05000US21151,"Madison County, Kentucky",1,Total,"92,368",*****
B01003,05000US21185,"Oldham County, Kentucky",1,Total,"66,470",*****
B01003,05000US21227,"Warren County, Kentucky",1,Total,"131,264",*****
B01003,05000US22005,"Ascension Parish, Louisiana",1,Total,"124,672",*****
B01003,05000US22015,"Bossier Parish, Louisiana",1,Total,"127,185",*****
B01003,05000US22017,"Caddo Parish, Louisiana",1,Total,"242,922",*****
B01003,05000US22019,"Calcasieu Parish, Louisiana",1,Total,"203,112",*****
